Mobile Name,Price
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","7,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","7,999"
"Infinix Smart 4 Plus (Violet, 32 GB)","7,999"
"Infinix Hot 9 (Violet, 64 GB)","9,499"
"Infinix Hot 9 (Ocean Wave, 64 GB)","9,499"
"Infinix S5 Pro (Violet, 64 GB)","11,499"
"Infinix S5 Pro (Forest Green, 64 GB)","11,499"
"Infinix Hot 9 Pro (Violet, 64 GB)","10,499"
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)","10,499"
"Infinix Note 5 Stylus (Charcoal Blue, 64 GB)","10,999"
"Infinix S5 Pro (Sea Blue, 64 GB)","11,499"
"Infinix Hot 8 (Cosmic Purple, 64 GB)","8,499"
"Infinix Hot 8 (Shark Grey, 64 GB)","8,499"
"Infinix Hot 8 (Quetzal Cyan, 64 GB)","8,499"
"Infinix Hot S3X (Aqua Blue, 32 GB)","10,999"
"Infinix Hot S3X (Tradew Gray, 32 GB)","10,999"
"Infinix Hot S3X (Milan Black, 32 GB)","10,999"
"Infinix Smart 2 (Bordeaux Red, 32 GB)","7,999"
"Infinix S5 Lite (Violet, 64 GB)","8,499"
"Infinix S5 Lite (Quetzal Cyan, 64 GB)","8,499"
"Infinix Smart 2 (City Blue, 32 GB)","7,499"
"Infinix Hot S3 (Sandstone Black, 64 GB)","11,999"
"Infinix Hot S3 (Topaz Blue, 64 GB)","11,999"
"Infinix Hot S3 (Blush Gold, 64 GB)","11,999"
"Infinix Hot S3X (Aqua Blue, 32 GB)","10,999"
"Infinix Hot S3X (Tradew Gray, 32 GB)","10,999"
"Infinix Hot S3X (Milan Black, 32 GB)","10,999"
"Infinix Smart 2 (Bordeaux Red, 32 GB)","7,999"
"Infinix S5 Lite (Violet, 64 GB)","8,499"
"Infinix S5 Lite (Quetzal Cyan, 64 GB)","8,499"
"Infinix Smart 2 (City Blue, 32 GB)","7,499"
"Infinix Hot S3 (Sandstone Black, 64 GB)","11,999"
"Infinix Hot S3 (Topaz Blue, 64 GB)","11,999"
"Infinix Hot S3 (Blush Gold, 64 GB)","11,999"
"Infinix Note 5 (Berlin Gray, 32 GB)","7,599"
"Infinix S4 (Space Gray, 32 GB)","9,599"
"Infinix S4 (Twilight Purple, 32 GB)","9,599"
"Infinix Note 5 (Milan Black, 64 GB)","7,699"
"Infinix S5 Lite (Midnight Black, 64 GB)","8,499"
"Infinix Smart 2 (Serene Gold, 32 GB)","7,499"
"Infinix Smart 2 (Sandstone Black, 32 GB)","7,499"
"Infinix Hot S3 (Blush Gold, 32 GB)","9,999"
"Infinix Hot S3 (Sandstone Black, 32 GB)","9,999"
"Infinix Hot S3 (Bordeaux Red, 32 GB)","9,999"
"Infinix Hot S3 (Topaz Blue, 32 GB)","9,999"
"Infinix Note 5 (Ice Blue, 64 GB)","7,699"
"Infinix S4 (Space Gray, 64 GB)","9,599"
"Infinix Note 5 (Berlin Gray, 64 GB)","7,699"
"Infinix S4 (Nebula Blue, 64 GB)","9,599"
"Infinix Smart 3 Plus (Midnight Black, 32 GB)","7,499"
"Infinix S4 (Nebula Blue, 32 GB)","9,599"
"Infinix Note 5 (Milan Black, 32 GB)","7,599"
"Infinix Zero 5 Pro (Bronze Gold Black, 128 GB)","19,999"
"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)","7,499"
"Infinix Smart 3 Plus (Mocha Brown, 32 GB)","7,499"
"Infinix S4 (Twilight Purple, 64 GB)","9,599"
"Infinix Note 5 Stylus (Bordeaux Red, 64 GB)","10,999"
"Infinix Note 4 (Milan Black, 32 GB)","8,999"
"Infinix Hot 4 Pro (Quartz Black, 16 GB)","7,499"
"Infinix Hot 4 Pro (Bordeaux Red, 16 GB)","7,499"
"Infinix Hot 4 Pro (Magic Gold, 16 GB)","7,499"
"Infinix Hot 7 Pro (Mocha Brown, 64 GB)","10,999"
"Infinix Hot 7 Pro (Midnight Black, 64 GB)","10,999"
"Infinix Hot 7 Pro (Aqua Blue, 64 GB)","10,999"
"Infinix Smart 2 (City Blue, 16 GB)","6,999"
"Infinix Smart 2 (Sandstone Black, 16 GB)","6,399"
"Infinix Smart 2 (Bordeaux Red, 16 GB)","6,999"
"Infinix Smart 2 (Serene Gold, 16 GB)","6,999"
"Infinix Note 4 (Ice Blue, 32 GB)","8,999"
"Infinix Note 4 (Champagne Gold, 32 GB)","8,999"
"Infinix S5 (Violet, 64 GB)","9,599"
"Infinix S5 (Quetzal Cyan, 64 GB)","9,599"
"Infinix Note 5 (Ice Blue, 32 GB)","7,599"
