Mobile Name,Price
"Redmi 8 (Emerald Green, 64 GB)","9,999"
"Redmi 8A Dual (Sea Blue, 32 GB)","8,349"
"Redmi 8A Dual (Sky White, 32 GB)","8,347"
"Redmi 8A Dual (Midnight Grey, 32 GB)","8,449"
"Redmi K20 Pro (Glacier Blue, 128 GB)","22,999"
"Redmi Note 9 Pro (Glacier White, 64 GB)","16,987"
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","16,924"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","19,948"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","19,979"
"Redmi Note 9 (Aqua Green, 128 GB)","15,151"
"Redmi Note 9 (Scarlet Red, 64 GB)","14,962"
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)","20,990"
"Redmi K20 Pro (Flame Red, 128 GB)","22,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,137"
"Redmi K20 Pro (Carbon Black, 128 GB)","22,999"
"Redmi 8A Dual (Sea Blue, 64 GB)","9,789"
"Redmi 8A Dual (Midnight Grey, 64 GB)","9,995"
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","20,925"
"Redmi K20 (Glacier Blue, 128 GB)","21,999"
"Redmi 8A Dual (Sky White, 64 GB)","9,995"
"Redmi K20 (Carbon Black, 128 GB)","21,999"
"Redmi Note 9 (Pebble Grey, 64 GB)","14,979"
"Mi A2 (Red, 128 GB)","11,999"
"Redmi Note 7 (Onyx Black, 64 GB)","13,225"
"Redmi Note 7 (Sapphire Blue, 64 GB)","14,250"
"Redmi K20 (Pearl White, 128 GB)","21,999"
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","22,905"
"Redmi Note 9 Pro (Glacier White, 128 GB)","19,890"
"Redmi Note 8 (Neptune Blue, 64 GB)","13,999"
"Redmi K20 (Carbon Black, 64 GB)","21,999"
"Redmi Note 6 Pro (Red, 64 GB)","13,890"
"Redmi Note 7 Pro (Space Black, 128 GB)","13,999"
"Redmi K20 Pro (Pearl White, 128 GB)","22,999"
"Mi A3 (Kind of Grey, 128 GB)","17,499"
"Redmi K20 Pro (Flame Red, 256 GB)","29,999"
"Redmi Y2 (Dark Grey, 64 GB)","12,990"
"Mi 10 (Coral Green, 256 GB)","54,999"
"Redmi K20 Pro (Carbon Black, 256 GB)","29,999"
"Redmi Note 5 Pro (Gold, 64 GB)","12,999"
"Redmi Note 6 Pro (Black, 64 GB)","17,998"
"Mi A2 (Black, 64 GB)","14,495"
"Redmi Y2 (Gold, 64 GB)","13,390"
"Redmi Note 7 Pro (Nebula Red, 128 GB)","17,999"
"Redmi Note 5 Pro (Gold, 64 GB)","13,999"
