s_no,Item name,Max-Price
1,Aashirvaad Atta – Whole Wheat,185
2,Aashirvaad Salt – Iodised(1kg),185
3,Amul – Pasteurised Butter(100 gm),140
4,"Amul Gold – Homogenised Standardised Milk, 1L carton",66
5,Amul Milk Taaza – 500ml,23
6,Amul processed Cheese Cubes – 200 gm(8 cubes),110
7,Amulspray Infant Milk Food (200 gm – 1 kg),354
8,Bisk Farm Chatpata Spicy – 200 g,10
9,Bisk Farm Crispy Cream Cracker – 250 g,34
10,Bisk Farm Googly – 200 gm,22
11,Bisk Farm Googly Twist – 200 g,30
12,Bisk Farm Marie – 300 gm,30
13,Bisk Farm Mast Jeera – 200 g,40
14,Bisk Farm The Top – 200 gm,22
15,Bisk Farm Top Gold – 200 g,30
16,"Boro plus Antiseptic Cream, 120ml",30
17,"BOROLINE SX Antiseptic Night Cream, 40g",67
18,Britannia – 50 50 Sweet and Salty (95gm),67
19,Britannia – Good Day Butter Cookies (200+50 free)gm,28
20,Britannia – Marie Gold(300 gm),28
21,Britannia – Nutri Choice Hi Fibre Digestive(100+50 free)gm,28
22,Britannia – Nutri Choice Thin Arrowroot(300 gm),28
23,Britannia Bourbon- Chocolate Cream Biscuit(150 gm),28
24,Cadbury Dairy Milk Chocolate,98
25,Cadbury Dairy Milk Chocolate,98
26,Cadbury Dairy Milk Crispello (33gm),30
27,Cadbury Dairy Milk Silk – Fruit & Nut,201
28,"Colgate Active Salt Toothpaste, 100 g",201
29,Colin Glass & Household cleaner – 500 ml,89
30,Complan Health Drink Creamy Classic – Refill pack (500 gm),220
31,Complan Health Drink Royale Chocolate Flavour – Refill pack (500 gm),274
32,"Dabur Red Ayurvedic Toothpaste, 100 g",274
33,"Dettol Original Hand Wash Liquid Refill, 175 ml",274
34,Dettol Original Soap (75 g),274
35,Dettol Original Soap 75gm (Buy 4 Get 1 Free),274
36,Dove Cream Beauty Bathing Bar – 100 gm (pack of 3),274
37,Dove Cream Beauty Bathing Bar (50-100) gm,44
38,"Emami Healthy & Tasty – Refined Rice Bran Oil, 1 L pouch",98
39,Emami Healthy & Tasty Kachchi Ghani Mustard Oil – 1L pouch,112
40,Engine Kacchi Ghani Mustard Oil – 1 L pouch,131
41,Fortune Sunflower Refined Oil – 1L pouch,116
42,Fresh Eggs,165
43,Good Knight Power Activ+ – Refill(Lavender),213
