title,price
Nova Nht 216 bl Mustache & beard trimmer For Men ( Black ),499
Philips BT3101/15 Beard & Moustache Trimmer For Men (White),"1,428"
Kubra KB-1045 Rechargeable Beard and Hair Trimmer For Men (Black),399
Vivo Y50 8 GB 128 GB Iris Blue,"17,990"
INNOVA Red stylish Mustache & beard trimmer For Men ( Red ),399
"HP 250 G7 (Intel Core i3-10th Gen/4 GB RAM/512 GB SSD/39.62 cm (15.6 inch)/Windows 10/With Fast Charging) 22A67PA (Dark Ash Silver, 1.78 kg)","39,990"
WD Elements 1 TB USB 3.0 External HDD - Black,"3,899"
Nova Nht 216 b Mustache & beard trimmer For Men ( Blue ),499
boAt bassheads 100 In-Ear Wired Headphone ( White ),379
Nokia 105 Black,"1,225"
Philips BT1212/15 Mustache & Beard Trimmer For Men (Green),942
"Asus X509MA-BR059T Laptop (Intel Pentium Silver N5000 @1.10GHz Processor / 4GB DDR4 Ram / 1TB HDD / 15.6"" FHD / Windows 10 Home / 1.90kgs / Silver / No ODD) Without Optical Drive","29,990"
SanDisk Ultra Dual Micro USB OTG 16 GB USB 3.0 Pendrive ( Multi ),489
realme C3 4 GB 64 GB Frozen Blue,"10,920"
EDDNA ED201 Wired Trimmer for Men And Women ( ASSORTED),390
GadgetX MAGNETBT12 In-Ear Bluetooth Headset ( Black ),179
Dell Inspiron 15 3593 15.6-inch FHD Laptop (10th Gen Core i3/4GB/1TB HDD/Windows 10 + MS Office/Intel HD Graphics/Silver),"40,990"
Sandisk Cruzer Blade USB 2.0 16 GB Utility Pendrive (Red & Black),329
Redmi 8A Dual 2 GB 32 GB Sea Blue,"8,050"
Syska HT100U Mustache & Beard Trimmer (Black),889
boAt BassHeads 100 In-Ear Wired Headphone ( Red ),379
"ASUS ZenBook 14 14.0-inch Laptop (8th Gen Core i5-8250U/8GB/SATA 256GB SSD/Windows 10/Integrated Intel UHD 620 Graphics/Thin & Light) UX430UA-GV573T (Gold, 1.30kg)","51,990"
WD My Passport New Edition 2 TB USB 3.0 External HDD - Blue,"5,549"
OPPO A12 3 GB 32 GB Blue,"9,990"
"INNOVA TRIMM-15 Multi-Function Trimmer For Unisex ( Black , Rechargeable Battery )",389
Portronics Conch Beta POR 1071 In-Ear Wired Headphone ( Black ),299
Lenovo Yoga 730 81CT003YIN (Ci7-8550U/8GB/512GB ssd/13.3''FHD IPS TOUCH/Plnm/W10HSL+OFFICE 2016/1Yr.),"96,490"
SanDisk 32GB Class 10 microSDXC Memory Card(SDSQUAR-032G-GN6MN),449
Mi Mix 2 6 GB 128 GB Black,"17,990"
